step,api_call,run_time_sec,cpu_pct_mean,cpu_pct_p90,gpu_pct_mean,gpu_pct_p90,cpu_usage_mean,cpu_usage_p90,mem_process,mem_container_limit,mem_container_used,mem_container_avail,mem_system_total,mem_system_used,mem_system_avail,cpus,gpus,gpu_model,node,filename,node_type,project
setup,addPhotos,19,5,6,N/A,N/A,0.2,0.2,0.3,58.9,9.6,49.3,58.9,1.7,57.2,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-199260863,cpu-000192,cpu,000192
match_photos,matchPhotos,1263,59,79,N/A,N/A,9.4,12.5,1.5,58.9,14.3,44.5,58.9,2.8,56.0,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-3418968668,cpu-000192,cpu,000192
align_cameras,alignCameras,496,76,100,N/A,N/A,12.1,15.9,1.5,58.9,1.8,57.1,58.9,3.0,55.9,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-653624702,cpu-000192,cpu,000192
align_cameras,optimizeCameras,34,68,97,N/A,N/A,10.7,15.5,1.4,58.9,1.9,56.9,58.9,2.9,55.9,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-653624702,cpu-000192,cpu,000192
align_cameras,exportCameras,0,11,11,N/A,N/A,1.6,1.6,0.8,58.9,1.2,57.6,58.9,2.2,56.6,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-653624702,cpu-000192,cpu,000192
build_depth_maps,buildDepthMaps,1200,20,27,57,97,6.1,8.5,6.5,115.1,21.6,93.5,115.1,9.4,105.7,32,1,NVIDIA A100-SXM4-40GB,automate-metashape-workflow-29p54-metashape-gpu-step-4269233286,cpu-000192,cpu,000192
build_point_cloud,buildPointCloud,1928,82,100,N/A,N/A,13.0,15.9,8.8,58.9,22.2,36.6,58.9,10.1,48.7,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-3709067933,cpu-000192,cpu,000192
build_point_cloud,classifyGroundPoints,795,81,100,N/A,N/A,12.9,16.0,4.1,58.9,17.5,41.4,58.9,5.5,53.4,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-3709067933,cpu-000192,cpu,000192
build_mesh,buildModel,2692,56,100,N/A,N/A,9.1,15.8,12.3,58.9,21.9,37.0,58.9,13.7,45.2,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-1093022527,cpu-000192,cpu,000192
build_mesh,exportModel,13,9,7,N/A,N/A,1.3,1.1,4.9,58.9,16.8,42.0,58.9,6.2,52.6,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-1093022527,cpu-000192,cpu,000192
build_dem_orthomosaic,buildDem (DSM-ptcloud),33,34,72,N/A,N/A,5.4,11.5,0.5,58.9,1.2,57.6,58.9,1.9,57.0,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-2214673326,cpu-000192,cpu,000192
build_dem_orthomosaic,exportRaster (DSM-ptcloud),3,12,17,N/A,N/A,1.8,2.7,0.5,58.9,1.2,57.6,58.9,1.8,57.1,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-2214673326,cpu-000192,cpu,000192
build_dem_orthomosaic,buildDem (DTM-ptcloud),25,31,77,N/A,N/A,4.9,12.3,0.5,58.9,1.3,57.5,58.9,1.8,57.0,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-2214673326,cpu-000192,cpu,000192
build_dem_orthomosaic,exportRaster (DTM-ptcloud),3,13,17,N/A,N/A,2.0,2.7,0.5,58.9,1.5,57.4,58.9,1.8,57.1,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-2214673326,cpu-000192,cpu,000192
build_dem_orthomosaic,buildDem (DSM-mesh),35,26,67,N/A,N/A,4.1,10.7,0.7,58.9,1.9,57.0,58.9,2.1,56.8,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-2214673326,cpu-000192,cpu,000192
build_dem_orthomosaic,exportRaster (DSM-mesh),3,13,19,N/A,N/A,2.0,2.9,0.5,58.9,1.9,57.0,58.9,1.8,57.0,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-2214673326,cpu-000192,cpu,000192
build_dem_orthomosaic,buildOrthomosaic (dsm-ptcloud),2512,34,85,N/A,N/A,5.4,13.6,9.6,58.9,30.0,28.9,58.9,11.0,47.9,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-2214673326,cpu-000192,cpu,000192
build_dem_orthomosaic,exportRaster (ortho-dsm-ptcloud),46,13,19,N/A,N/A,1.9,3.1,1.9,58.9,23.4,35.4,58.9,3.3,55.5,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-2214673326,cpu-000192,cpu,000192
build_dem_orthomosaic,buildOrthomosaic (dsm-mesh),2077,39,89,N/A,N/A,6.1,14.1,8.5,58.9,40.4,18.4,58.9,9.9,49.0,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-2214673326,cpu-000192,cpu,000192
build_dem_orthomosaic,exportRaster (ortho-dsm-mesh),51,13,21,N/A,N/A,1.9,3.3,1.8,58.9,25.6,33.3,58.9,3.2,55.6,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-2214673326,cpu-000192,cpu,000192
finalize,exportReport,12,19,72,N/A,N/A,2.9,11.4,0.4,58.9,1.1,57.7,58.9,1.8,57.0,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-3083353144,cpu-000192,cpu,000192
setup,addPhotos,42,6,7,N/A,N/A,0.2,0.3,0.4,58.9,24.3,34.5,58.9,1.8,57.1,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-2640625673,cpu-000195,cpu,000195
match_photos,matchPhotos,2300,61,80,N/A,N/A,9.6,12.7,1.8,58.9,32.1,26.8,58.9,3.2,55.7,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-3296975738,cpu-000195,cpu,000195
align_cameras,alignCameras,1057,78,98,N/A,N/A,12.3,15.5,2.5,58.9,3.2,55.6,58.9,3.9,55.0,16,0,N/A,automate-metashape-workflow-29p54-metashape-cpu-step-577800584,cpu-000195,cpu,000195
