step,api_call,run_time_sec,cpu_pct_mean,cpu_pct_p90,gpu_pct_mean,gpu_pct_p90,cpu_usage_mean,cpu_usage_p90,mem_process,mem_container_limit,mem_container_used,mem_container_avail,mem_system_total,mem_system_used,mem_system_avail,cpus,gpus,gpu_model,node,filename,node_type,project
setup,addPhotos,73,7,9,N/A,N/A,0.1,0.1,0.4,122.8,6.1,116.7,122.8,4.7,118.1,32,0,N/A,automate-metashape-workflow-4qvw2-metashape-cpu-step-3197614061,1x1g-000404,1x1g,000404
match_photos,matchPhotos,1675,36,83,N/A,N/A,3.0,10.1,2.8,115.1,9.6,105.5,115.1,8.4,106.7,32,1,NVIDIA A100-SXM4-40GB MIG 1g.5gb,automate-metashape-workflow-4qvw2-metashape-gpu-step-2325855578,1x1g-000404,1x1g,000404
align_cameras,alignCameras,1298,64,98,N/A,N/A,20.3,31.1,4.0,122.8,5.0,117.8,122.8,5.9,116.9,32,0,N/A,automate-metashape-workflow-4qvw2-metashape-cpu-step-1028038148,1x1g-000404,1x1g,000404
align_cameras,optimizeCameras,83,44,99,N/A,N/A,14.2,31.4,4.1,122.8,5.1,117.7,122.8,6.0,116.8,32,0,N/A,automate-metashape-workflow-4qvw2-metashape-cpu-step-1028038148,1x1g-000404,1x1g,000404
align_cameras,exportCameras,0,7,7,N/A,N/A,2.0,2.0,1.4,122.8,2.4,120.5,122.8,3.3,119.5,32,0,N/A,automate-metashape-workflow-4qvw2-metashape-cpu-step-1028038148,1x1g-000404,1x1g,000404
build_depth_maps,buildDepthMaps,11894,31,66,N/A,N/A,3.3,5.4,8.1,115.1,29.7,85.4,115.1,37.6,77.5,32,1,NVIDIA A100-SXM4-40GB MIG 1g.5gb,automate-metashape-workflow-4qvw2-metashape-gpu-step-905167788,1x1g-000404,1x1g,000404
finalize,exportReport,31,76,99,N/A,N/A,1.5,1.5,0.3,122.8,1.5,121.3,122.8,4.0,118.8,32,0,N/A,automate-metashape-workflow-4qvw2-metashape-cpu-step-913775386,1x1g-000404,1x1g,000404
setup,addPhotos,70,7,9,N/A,N/A,0.1,0.2,0.6,122.8,9.4,113.5,122.8,4.8,118.1,32,0,N/A,automate-metashape-workflow-4qvw2-metashape-cpu-step-80491019,1x1g-000810,1x1g,000810
match_photos,matchPhotos,1864,33,82,N/A,N/A,2.4,7.0,3.2,115.1,37.8,77.3,115.1,8.4,106.7,32,1,NVIDIA A100-SXM4-40GB MIG 1g.5gb,automate-metashape-workflow-4qvw2-metashape-gpu-step-309429156,1x1g-000810,1x1g,000810
align_cameras,alignCameras,1179,61,97,N/A,N/A,19.5,31.0,4.2,122.8,5.2,117.6,122.8,6.4,116.5,32,0,N/A,automate-metashape-workflow-4qvw2-metashape-cpu-step-966879650,1x1g-000810,1x1g,000810
