step,api_call,run_time_sec,cpu_pct_mean,cpu_pct_p90,gpu_pct_mean,gpu_pct_p90,cpu_usage_mean,cpu_usage_p90,mem_process,mem_container_limit,mem_container_used,mem_container_avail,mem_system_total,mem_system_used,mem_system_avail,cpus,gpus,gpu_model,node,filename,node_type,project
setup,addPhotos,20,3,3,N/A,N/A,0.2,0.2,0.3,122.8,9.6,113.2,122.8,2.3,120.5,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-1644225960,cpu-000192,cpu,000192
match_photos,matchPhotos,863,47,59,N/A,N/A,14.9,18.8,1.4,122.8,14.2,108.7,122.8,3.3,119.5,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-44022021,cpu-000192,cpu,000192
align_cameras,alignCameras,381,68,93,N/A,N/A,21.7,29.8,1.4,122.8,1.6,121.2,122.8,3.4,119.4,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-3097553909,cpu-000192,cpu,000192
align_cameras,optimizeCameras,34,58,89,N/A,N/A,18.5,28.5,1.3,122.8,1.8,121.1,122.8,3.2,119.6,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-3097553909,cpu-000192,cpu,000192
align_cameras,exportCameras,0,9,9,N/A,N/A,2.8,2.8,0.6,122.8,1.1,121.8,122.8,2.5,120.3,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-3097553909,cpu-000192,cpu,000192
build_depth_maps,buildDepthMaps,1164,20,27,55,97,6.3,8.6,6.5,115.1,21.6,93.6,115.1,9.6,105.6,32,1,NVIDIA A100-SXM4-40GB,automate-metashape-workflow-g95x4-metashape-gpu-step-3785861367,cpu-000192,cpu,000192
build_point_cloud,buildPointCloud,1251,68,82,N/A,N/A,21.7,26.3,10.5,122.8,24.2,98.6,122.8,12.5,110.3,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-823056706,cpu-000192,cpu,000192
build_point_cloud,classifyGroundPoints,471,69,100,N/A,N/A,22.1,32.0,4.3,122.8,17.9,104.9,122.8,6.3,116.6,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-823056706,cpu-000192,cpu,000192
build_mesh,buildModel,3057,53,94,N/A,N/A,16.9,30.1,15.7,122.8,25.2,97.6,122.8,17.7,105.1,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-1725999586,cpu-000192,cpu,000192
build_mesh,exportModel,13,5,4,N/A,N/A,1.5,1.2,8.2,122.8,20.1,102.8,122.8,10.2,112.7,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-1725999586,cpu-000192,cpu,000192
build_dem_orthomosaic,buildDem (DSM-ptcloud),31,20,38,N/A,N/A,6.3,12.0,0.5,122.8,1.2,121.6,122.8,2.5,120.3,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-1310082593,cpu-000192,cpu,000192
build_dem_orthomosaic,exportRaster (DSM-ptcloud),3,8,13,N/A,N/A,2.5,4.2,0.5,122.8,1.3,121.5,122.8,2.5,120.4,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-1310082593,cpu-000192,cpu,000192
build_dem_orthomosaic,buildDem (DTM-ptcloud),24,18,43,N/A,N/A,5.8,13.8,0.5,122.8,1.4,121.5,122.8,2.5,120.4,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-1310082593,cpu-000192,cpu,000192
build_dem_orthomosaic,exportRaster (DTM-ptcloud),3,9,13,N/A,N/A,2.7,3.9,0.5,122.8,1.5,121.3,122.8,2.5,120.4,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-1310082593,cpu-000192,cpu,000192
build_dem_orthomosaic,buildDem (DSM-mesh),34,15,39,N/A,N/A,4.7,12.3,0.7,122.8,1.9,120.9,122.8,2.7,120.1,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-1310082593,cpu-000192,cpu,000192
build_dem_orthomosaic,exportRaster (DSM-mesh),3,8,13,N/A,N/A,2.7,4.0,0.6,122.8,2.0,120.8,122.8,2.6,120.3,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-1310082593,cpu-000192,cpu,000192
build_dem_orthomosaic,buildOrthomosaic (dsm-ptcloud),2580,23,56,N/A,N/A,7.1,17.7,13.1,122.8,33.5,89.4,122.8,15.1,107.8,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-1310082593,cpu-000192,cpu,000192
build_dem_orthomosaic,exportRaster (ortho-dsm-ptcloud),53,8,15,N/A,N/A,2.4,4.7,1.4,122.8,22.6,100.2,122.8,3.3,119.5,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-1310082593,cpu-000192,cpu,000192
build_dem_orthomosaic,buildOrthomosaic (dsm-mesh),2116,26,59,N/A,N/A,8.1,18.8,10.5,122.8,42.4,80.4,122.8,12.5,110.4,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-1310082593,cpu-000192,cpu,000192
build_dem_orthomosaic,exportRaster (ortho-dsm-mesh),57,8,16,N/A,N/A,2.4,4.9,1.5,122.8,24.8,98.0,122.8,3.5,119.4,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-1310082593,cpu-000192,cpu,000192
finalize,exportReport,12,10,36,N/A,N/A,3.1,11.5,0.4,122.8,1.1,121.7,122.8,2.4,120.4,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-550731541,cpu-000192,cpu,000192
setup,addPhotos,40,3,3,N/A,N/A,0.2,0.2,0.4,122.8,24.3,98.5,122.8,2.4,120.4,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-3333537370,cpu-000195,cpu,000195
match_photos,matchPhotos,1629,47,64,N/A,N/A,15.0,20.3,1.8,122.8,32.1,90.8,122.8,3.8,119.0,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-333604939,cpu-000195,cpu,000195
align_cameras,alignCameras,848,69,94,N/A,N/A,22.1,30.2,2.6,122.8,3.3,119.5,122.8,4.6,118.3,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-809174511,cpu-000195,cpu,000195
align_cameras,optimizeCameras,51,63,96,N/A,N/A,20.0,30.6,2.7,122.8,3.6,119.3,122.8,4.6,118.2,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-809174511,cpu-000195,cpu,000195
align_cameras,exportCameras,0,9,9,N/A,N/A,2.9,2.9,1.3,122.8,2.2,120.6,122.8,3.2,119.6,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-809174511,cpu-000195,cpu,000195
build_depth_maps,buildDepthMaps,1402,18,24,43,90,5.6,7.6,5.8,115.1,37.4,77.7,115.1,8.9,106.3,32,1,NVIDIA A100-SXM4-40GB,automate-metashape-workflow-g95x4-metashape-gpu-step-2341553601,cpu-000195,cpu,000195
build_point_cloud,buildPointCloud,2283,52,80,N/A,N/A,16.4,25.7,19.0,122.8,49.8,73.0,122.8,21.1,101.8,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-2257630772,cpu-000195,cpu,000195
build_point_cloud,classifyGroundPoints,2171,84,100,N/A,N/A,27.0,32.0,8.3,122.8,39.7,83.1,122.8,10.3,112.5,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-2257630772,cpu-000195,cpu,000195
build_mesh,buildModel,6683,50,94,N/A,N/A,16.0,30.1,21.4,122.8,37.9,84.9,122.8,23.4,99.4,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-1156984032,cpu-000195,cpu,000195
build_mesh,exportModel,25,4,4,N/A,N/A,1.2,1.0,9.7,122.8,12.6,110.2,122.8,11.7,111.2,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-1156984032,cpu-000195,cpu,000195
build_dem_orthomosaic,buildDem (DSM-ptcloud),59,21,43,N/A,N/A,6.5,13.6,0.5,122.8,2.0,120.8,122.8,2.5,120.3,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-3622046939,cpu-000195,cpu,000195
build_dem_orthomosaic,exportRaster (DSM-ptcloud),6,8,11,N/A,N/A,2.3,3.5,0.6,122.8,2.3,120.5,122.8,2.5,120.3,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-3622046939,cpu-000195,cpu,000195
build_dem_orthomosaic,buildDem (DTM-ptcloud),44,18,44,N/A,N/A,5.7,14.1,0.5,122.8,2.4,120.5,122.8,2.5,120.4,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-3622046939,cpu-000195,cpu,000195
build_dem_orthomosaic,exportRaster (DTM-ptcloud),5,8,11,N/A,N/A,2.6,3.3,0.6,122.8,2.6,120.2,122.8,2.5,120.3,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-3622046939,cpu-000195,cpu,000195
build_dem_orthomosaic,buildDem (DSM-mesh),52,14,41,N/A,N/A,4.2,13.0,1.3,122.8,3.6,119.2,122.8,3.2,119.6,32,0,N/A,automate-metashape-workflow-g95x4-metashape-cpu-step-3622046939,cpu-000195,cpu,000195
