"","api_call_full","metric","run_type","run_time_sec","cpu_pct_mean","cpu_pct_p90","gpu_pct_mean","gpu_pct_p90","cpu_usage_mean","cpu_usage_p90","mem_process","mem_container_limit","mem_container_used","mem_container_avail","mem_system_total","mem_system_used","mem_system_avail"
"1","addPhotos_cpu","max","large",51,6,7,NA,NA,0.3,0.3,0.5,58.9,31,58.3,58.9,1.9,57.2
"2","addPhotos_cpu","max","xl",204,3,3,NA,NA,0.6,0.6,0.8,122.8,78.8,122.3,122.8,2.8,120.6
"3","addPhotos_cpu","mean","large",19.5454545454545,4.18181818181818,5,NA,NA,0.209090909090909,0.227272727272727,0.290909090909091,58.9,14.2272727272727,44.6363636363636,58.9,1.78181818181818,57.0909090909091
"4","addPhotos_cpu","mean","xl",37.8571428571429,2.5,2.78571428571429,NA,NA,0.214285714285714,0.221428571428571,0.342857142857143,122.8,21.0785714285714,101.75,122.8,2.34285714285714,120.471428571429
"5","alignCameras_cpu","max","large",4167,87,100,NA,NA,13.8,15.9,4.1,58.9,5.2,58.7,58.9,5.4,57
"6","alignCameras_cpu","max","xl",15723,82,100,NA,NA,26.3,31.9,17.4,122.8,18.7,122.6,122.8,19.5,120.6
"7","alignCameras_cpu","mean","large",1335.28571428571,77.4285714285714,98.8571428571429,NA,NA,12.3,15.7,2.31428571428571,58.9,2.7,56.1714285714286,58.9,3.72857142857143,55.1142857142857
"8","alignCameras_cpu","mean","xl",2475.4,67.8,96.4,NA,NA,21.69,30.79,4.09,122.8,4.79,118.05,122.8,6.08,116.76
"9","buildDem (DSM-mesh)_cpu","max","large",98,30,88,NA,NA,4.8,14.1,1,58.9,3.3,58.3,58.9,2.4,57.2
"10","buildDem (DSM-mesh)_cpu","max","xl",345,19,49,NA,NA,6.1,15.5,1.9,122.8,7.9,122.3,122.8,4,120.5
"11","buildDem (DSM-mesh)_cpu","mean","large",49.2857142857143,25.5714285714286,73.7142857142857,NA,NA,4.04285714285714,11.7285714285714,0.757142857142857,58.9,2.07142857142857,56.7714285714286,58.9,2.12857142857143,56.7285714285714
"12","buildDem (DSM-mesh)_cpu","mean","xl",82.8,15.8,41.5,NA,NA,4.93,13.2,0.98,122.8,3.05,119.77,122.8,2.97,119.87
"13","buildDem (DSM-ptcloud)_cpu","max","large",82,36,93,NA,NA,5.7,14.9,0.5,58.9,2,58.3,58.9,2.1,57
"14","buildDem (DSM-ptcloud)_cpu","max","xl",276,23,60,NA,NA,7.2,19,0.7,122.8,4.3,122.3,122.8,2.9,120.4
"15","buildDem (DSM-ptcloud)_cpu","mean","large",46.7142857142857,31.8571428571429,75.4285714285714,NA,NA,5.02857142857143,11.9857142857143,0.485714285714286,58.9,1.3,57.5285714285714,58.9,1.94285714285714,56.9285714285714
"16","buildDem (DSM-ptcloud)_cpu","mean","xl",71.7,20.1,45.2,NA,NA,6.3,14.31,0.51,122.8,1.78,121.04,122.8,2.58,120.26
"17","buildDem (DTM-ptcloud)_cpu","max","large",69,36,82,NA,NA,5.6,13,0.6,58.9,2.3,58.4,58.9,2,57.2
"18","buildDem (DTM-ptcloud)_cpu","max","xl",259,24,62,NA,NA,7.6,19.7,0.8,122.8,5.3,122.4,122.8,2.9,120.5
"19","buildDem (DTM-ptcloud)_cpu","mean","large",37.2857142857143,29.2857142857143,72.1428571428571,NA,NA,4.61428571428571,11.4428571428571,0.5,58.9,1.48571428571429,57.3714285714286,58.9,1.85714285714286,56.9714285714286
"20","buildDem (DTM-ptcloud)_cpu","mean","xl",62.1,19.1,47.4,NA,NA,6.01,15.04,0.55,122.8,2.13,120.71,122.8,2.54,120.31
"21","buildDepthMaps_cpu","max","large",4142,20,32,60,99,6.3,10,8.9,115.1,57.6,111.7,115.1,11.9,109.5
"22","buildDepthMaps_cpu","max","xl",22508,22,32,58,99,6.9,10.2,10.3,115.1,110.1,111.7,115.1,13.3,109.2
"23","buildDepthMaps_cpu","mean","large",2031.14285714286,18.1428571428571,27,51.4285714285714,93.4285714285714,5.62857142857143,8.48571428571429,6.4,115.1,33.6714285714286,81.4571428571429,115.1,9.25714285714286,105.871428571429
"24","buildDepthMaps_cpu","mean","xl",4202.4,18.6,27.6,49.6,94.6,5.85,8.73,6.97,115.1,43.63,71.51,115.1,9.89,105.27
"25","buildModel_cpu","max","large",13317,62,100,NA,NA,10.4,15.9,17.9,58.9,39.3,54.9,58.9,19.3,53.9
"26","buildModel_cpu","max","xl",21932,57,99,NA,NA,18.3,31.5,23,122.8,109.5,118.2,122.8,25,116.7
"27","buildModel_cpu","mean","large",5901,51.5714285714286,94.7142857142857,NA,NA,8.3,15.0428571428571,11.1142857142857,58.9,24.7142857142857,34.1571428571429,58.9,12.5285714285714,46.3285714285714
"28","buildModel_cpu","mean","xl",6979.3,49.4,94.3,NA,NA,15.87,30.11,15.6,122.8,37.19,85.64,122.8,17.64,105.19
"29","buildModel_gpu","max","xl",19728,42,60,2,0,13.4,19,22.8,115.1,99.8,110.3,115.1,25.7,107.9
"30","buildModel_gpu","mean","xl",5995.9,37.8,55.4,1,0,12.06,17.69,15.85,115.1,36.23,78.88,115.1,18.68,96.46
"31","buildOrthomosaic (dsm-mesh)_cpu","max","large",6131,44,91,NA,NA,6.9,14.5,19.5,58.9,54.7,53.7,58.9,20.9,54.8
