,api_call_full,metric,run_type,run_time_sec,cpu_pct_mean,cpu_pct_p90,gpu_pct_mean,gpu_pct_p90,cpu_usage_mean,cpu_usage_p90,core-seconds,ratio,mem_process,mem_container_limit,mem_container_used,mem_container_avail,mem_system_total,mem_system_used,mem_system_avail,,,,,,,,,,,,,,,,,,
1,addPhotos_cpu,max,large,51.0,6.0,7.0,NA,NA,0.3,0.3,15.3,,0.5,58.9,31.0,58.3,58.9,1.9,57.2,,,,,,,,,,,,,,,,,,
2,addPhotos_cpu,max,xl,53.0,3.0,3.0,NA,NA,0.6,0.6,31.8,,0.5,122.8,31.4,122.3,122.8,2.5,120.6,,,,,,,,,,,,,,,,,,
3,addPhotos_cpu,mean,large,19.5,4.2,5.0,NA,NA,0.2,0.2,4.1,,0.3,58.9,14.2,44.6,58.9,1.8,57.1,,,,,,,,,,,,,,,,,,
4,addPhotos_cpu,mean,xl,20.8,2.5,2.8,NA,NA,0.2,0.2,4.5,1.1,0.3,122.8,14.9,107.9,122.8,2.3,120.5,,,,,,,,,,,,,,,,,,
5,alignCameras_cpu,max,large,4167.0,87.0,100.0,NA,NA,13.8,15.9,57504.6,,4.1,58.9,5.2,58.7,58.9,5.4,57.0,,,,,,,,,,,,,,,,,,
6,alignCameras_cpu,max,xl,2726.0,82.0,100.0,NA,NA,26.3,31.8,71693.8,,4.6,122.8,5.7,122.6,122.8,6.6,120.6,,,,,,,,,,,,,,,,,,
7,alignCameras_cpu,mean,large,1335.3,77.4,98.9,NA,NA,12.3,15.7,16424.0,,2.3,58.9,2.7,56.2,58.9,3.7,55.1,,,,,,,,,,,,,,,,,,
8,alignCameras_cpu,mean,xl,924.6,68.6,95.0,NA,NA,21.9,30.4,20274.5,1.2,2.6,122.8,3.2,119.7,122.8,4.6,118.3,,,,,,,,,,,,,,,,,,
9,buildDem (DSM-mesh)_cpu,max,large,98.0,30.0,88.0,NA,NA,4.8,14.1,470.4,,1.0,58.9,3.3,58.3,58.9,2.4,57.2,,,,,,,,,,,,,,,,,,
10,buildDem (DSM-mesh)_cpu,max,xl,90.0,19.0,47.0,NA,NA,6.1,14.9,549.0,,1.3,122.8,3.6,122.3,122.8,3.2,120.5,,,,,,,,,,,,,,,,,,
11,buildDem (DSM-mesh)_cpu,mean,large,49.3,25.6,73.7,NA,NA,4.0,11.7,199.3,,0.8,58.9,2.1,56.8,58.9,2.1,56.7,,,,,,,,,,,,,,,,,,
12,buildDem (DSM-mesh)_cpu,mean,xl,45.0,16.0,40.3,NA,NA,5.0,12.8,225.0,1.1,0.8,122.8,2.1,120.7,122.8,2.8,120.1,,,,,,,,,,,,,,,,,,
13,buildDem (DSM-ptcloud)_cpu,max,large,82.0,36.0,93.0,NA,NA,5.7,14.9,467.4,,0.5,58.9,2.0,58.3,58.9,2.1,57.0,,,,,,,,,,,,,,,,,,
14,buildDem (DSM-ptcloud)_cpu,max,xl,72.0,23.0,47.0,NA,NA,7.2,15.1,518.4,,0.5,122.8,2.0,122.3,122.8,2.6,120.4,,,,,,,,,,,,,,,,,,
15,buildDem (DSM-ptcloud)_cpu,mean,large,46.7,31.9,75.4,NA,NA,5.0,12.0,234.9,,0.5,58.9,1.3,57.5,58.9,1.9,56.9,,,,,,,,,,,,,,,,,,
16,buildDem (DSM-ptcloud)_cpu,mean,xl,40.9,20.0,41.1,NA,NA,6.2,13.0,255.1,1.1,0.5,122.8,1.3,121.5,122.8,2.5,120.3,,,,,,,,,,,,,,,,,,
17,buildDem (DTM-ptcloud)_cpu,max,large,69.0,36.0,82.0,NA,NA,5.6,13.0,386.4,,0.6,58.9,2.3,58.4,58.9,2.0,57.2,,,,,,,,,,,,,,,,,,
18,buildDem (DTM-ptcloud)_cpu,max,xl,62.0,24.0,48.0,NA,NA,7.6,15.5,471.2,,0.6,122.8,2.4,122.4,122.8,2.6,120.5,,,,,,,,,,,,,,,,,,
19,buildDem (DTM-ptcloud)_cpu,mean,large,37.3,29.3,72.1,NA,NA,4.6,11.4,172.0,,0.5,58.9,1.5,57.4,58.9,1.9,57.0,,,,,,,,,,,,,,,,,,
20,buildDem (DTM-ptcloud)_cpu,mean,xl,32.7,18.9,43.1,NA,NA,5.9,13.7,194.4,1.1,0.5,122.8,1.5,121.3,122.8,2.5,120.4,,,,,,,,,,,,,,,,,,
21,buildDepthMaps_cpu,max,large,4142.0,20.0,32.0,60.0,99.0,6.3,10.0,26094.6,,8.9,115.1,57.6,111.7,115.1,11.9,109.5,,,,,,,,,,,,,,,,,,
22,buildDepthMaps_cpu,max,xl,4007.0,21.0,31.0,58.0,99.0,6.6,9.6,26446.2,,8.1,115.1,57.2,111.7,115.1,10.9,109.2,,,,,,,,,,,,,,,,,,
23,buildDepthMaps_cpu,mean,large,2031.1,18.1,27.0,51.4,93.4,5.6,8.5,11432.4,,6.4,115.1,33.7,81.5,115.1,9.3,105.9,,,,,,,,,,,,,,,,,,
24,buildDepthMaps_cpu,mean,xl,1989.9,18.4,27.3,50.1,94.1,5.8,8.6,11569.6,1.0,6.2,115.1,33.4,81.7,115.1,9.2,106.0,,,,,,,,,,,,,,,,,,
25,buildModel_cpu,max,large,13317.0,62.0,100.0,NA,NA,10.4,15.9,138496.8,,17.9,58.9,39.3,54.9,58.9,19.3,53.9,,,,,,,,,,,,,,,,,,
26,buildModel_cpu,max,xl,11103.0,53.0,99.0,NA,NA,16.9,31.5,187640.7,,21.4,122.8,39.3,118.2,122.8,23.4,116.7,,,,,,,,,,,,,,,,,,
27,buildModel_cpu,mean,large,5901.0,51.6,94.7,NA,NA,8.3,15.0,48978.3,,11.1,58.9,24.7,34.2,58.9,12.5,46.3,,,,,,,,,,,,,,,,,,
28,buildModel_cpu,mean,xl,4954.1,48.7,94.4,NA,NA,15.7,30.2,77638.5,1.6,13.5,122.8,26.5,96.3,122.8,15.5,107.3,,,,,,,,,,,,,,,,,,
29,buildModel_gpu,max,xl,9375.0,42.0,60.0,1.0,0.0,13.4,19.0,125625.0,,22.6,115.1,39.3,110.3,115.1,25.3,107.9,,,,,,,,,,,,,,,,,,
30,buildModel_gpu,mean,xl,4281.1,38.9,57.4,0.9,0.0,12.4,18.4,52902.7,,13.8,115.1,26.5,88.6,115.1,16.6,98.5,,,,,,,,,,,,,,,,,,
31,buildOrthomosaic (dsm-mesh)_cpu,max,large,6131.0,44.0,91.0,NA,NA,6.9,14.5,42303.9,,19.5,58.9,54.7,53.7,58.9,20.9,54.8,,,,,,,,,,,,,,,,,,
32,buildOrthomosaic (dsm-mesh)_cpu,max,xl,5764.0,34.0,65.0,NA,NA,10.8,20.6,62251.2,,17.7,122.8,108.6,117.2,122.8,19.7,117.3,,,,,,,,,,,,,,,,,,
33,buildOrthomosaic (dsm-mesh)_cpu,mean,large,3057.9,39.0,85.9,NA,NA,6.1,13.6,18740.3,,8.2,58.9,38.6,20.3,58.9,9.6,49.2,,,,,,,,,,,,,,,,,,
34,buildOrthomosaic (dsm-mesh)_cpu,mean,xl,2806.3,27.0,59.9,NA,NA,8.5,19.0,23893.5,1.3,10.0,122.8,58.1,64.7,122.8,12.0,110.8,,,,,,,,,,,,,,,,,,
35,buildOrthomosaic (dsm-ptcloud)_cpu,max,large,8632.0,46.0,90.0,NA,NA,7.3,14.2,63013.6,,27.6,58.9,51.9,54.5,58.9,29.1,54.6,,,,,,,,,,,,,,,,,,
36,buildOrthomosaic (dsm-ptcloud)_cpu,max,xl,7762.0,34.0,68.0,NA,NA,10.6,21.5,82277.2,,31.3,122.8,96.5,117.4,122.8,33.4,116.8,,,,,,,,,0.5,2,,,,,,,,
37,buildOrthomosaic (dsm-ptcloud)_cpu,mean,large,4119.6,35.9,83.0,NA,NA,5.6,13.1,23246.2,,10.3,58.9,35.3,23.6,58.9,11.8,47.1,,,,,,,,,7,28,,,,,,,,
38,buildOrthomosaic (dsm-ptcloud)_cpu,mean,xl,3833.4,25.0,57.3,NA,NA,7.8,18.1,30065.0,1.3,13.3,122.8,49.9,72.9,122.8,15.4,107.5,,,,,,,,,14,56,,,,,,,,
39,buildPointCloud_cpu,max,large,5583.0,82.0,100.0,NA,NA,13.0,15.9,72579.0,,26.7,58.9,50.7,55.4,58.9,28.2,54.7,,,,,,,,,6,24,,,,,,,,
40,buildPointCloud_cpu,max,xl,4267.0,69.0,83.0,NA,NA,21.8,26.4,93020.6,,27.9,122.8,66.3,119.0,122.8,29.9,117.9,,,,,,,,,11,44,,,,,,,,
41,buildPointCloud_cpu,mean,large,2944.9,73.3,96.3,NA,NA,11.6,15.3,34286.6,,14.5,58.9,32.3,26.5,58.9,16.0,42.9,,,,,,,,,8,32,,,,,,,,
42,buildPointCloud_cpu,mean,xl,2008.7,59.6,78.9,NA,NA,18.9,25.2,38050.8,1.1,16.1,122.8,37.4,85.4,122.8,18.1,104.8,,,,,,,,,5,20,,,,,,,,
43,classifyGroundPoints_cpu,max,large,43243.0,99.0,100.0,NA,NA,15.8,16.0,683239.4,,8.0,58.9,37.7,56.8,58.9,9.4,56.4,,,,,,,,,7,28,,,,,,,,
44,classifyGroundPoints_cpu,max,xl,21912.0,97.0,100.0,NA,NA,30.9,32.0,677080.8,,8.3,122.8,45.0,120.0,122.8,10.3,119.7,,,,,,,,,14,56,,,,,,,,
45,classifyGroundPoints_cpu,mean,large,7308.9,80.0,96.7,NA,NA,12.7,15.5,93031.3,,4.6,58.9,23.7,35.2,58.9,6.0,52.9,,,,,,,,,1,4,,,,,,,,
46,classifyGroundPoints_cpu,mean,xl,3763.3,70.3,93.6,NA,NA,22.5,29.9,84566.4,0.9,4.9,122.8,26.7,96.2,122.8,6.8,116.0,,,,,,,,,,,,,,,,,,
47,exportCameras_cpu,max,large,0.0,31.0,31.0,NA,NA,4.9,4.9,0.0,,1.0,58.9,2.0,58.6,58.9,2.3,57.1,,,,,,,,,,,,,,,,,,
48,exportCameras_cpu,max,xl,0.0,28.0,28.0,NA,NA,9.0,9.0,0.0,,1.6,122.8,2.5,122.5,122.8,3.5,120.6,,,,,,,,,,,,,,,,,,
