,api_call_full,slices,metric,run_type,run_time_sec,slice-seconds,cpu_pct_mean,cpu_pct_p90,gpu_pct_mean,gpu_pct_p90,cpu_usage_mean,cpu_usage_p90,mem_process,mem_container_limit,mem_container_used,mem_container_avail,mem_system_total,mem_system_used,mem_system_avail,,
1,addPhotos_1x1g,1,max,mig,73.0,73.0,10.0,19.0,NA,NA,0.2,0.4,0.6,122.8,14.4,116.7,122.8,4.8,118.7,,
2,addPhotos_1x1g,1,mean,mig,44.8,44.8,7.4,10.6,NA,NA,0.1,0.3,0.4,122.8,9.0,113.8,122.8,4.5,118.3,,
3,addPhotos_1x2g,2,max,mig,71.0,142.0,85.0,100.0,NA,NA,0.2,0.3,0.5,122.8,31.0,116.6,122.8,4.7,120.3,,
4,addPhotos_1x2g,2,mean,mig,43.0,86.0,49.4,60.8,NA,NA,0.2,0.2,0.4,122.8,19.6,103.2,122.8,3.8,119.1,,
5,addPhotos_1x3g,3,max,mig,76.0,228.0,64.0,99.0,NA,NA,0.3,0.4,0.5,122.8,31.5,109.3,122.8,6.5,118.6,,
6,addPhotos_1x3g,3,mean,mig,43.6,130.8,46.6,85.6,NA,NA,0.2,0.2,0.4,122.8,24.7,98.2,122.8,5.1,117.7,,2.34469492
7,addPhotos_2x1g,2,max,mig,71.0,142.0,10.0,19.0,NA,NA,0.3,0.4,0.5,122.8,16.7,117.2,122.8,4.7,118.7,,
8,addPhotos_2x1g,2,mean,mig,44.0,88.0,7.4,10.2,NA,NA,0.2,0.3,0.4,122.8,9.8,113.0,122.8,4.5,118.4,,
9,addPhotos_3x1g,3,max,mig,75.0,225.0,7.0,9.0,NA,NA,0.3,0.3,0.5,122.8,31.0,116.0,122.8,4.8,120.6,,
10,addPhotos_3x1g,3,mean,mig,41.6,124.8,4.6,5.2,NA,NA,0.2,0.2,0.4,122.8,16.2,106.6,122.8,3.3,119.6,,
11,addPhotos_cpu,7,max,large,51.0,7.3,6.0,6.0,NA,NA,0.3,0.3,0.5,58.9,31.0,45.4,58.9,1.9,57.1,,
12,addPhotos_cpu,7,max,xl,53.0,371.0,3.0,3.0,NA,NA,0.2,0.2,0.5,122.8,31.4,109.3,122.8,2.5,120.6,,
13,addPhotos_cpu,3.5,mean,large,30.0,105.0,4.6,5.2,NA,NA,0.2,0.2,0.3,58.9,23.2,35.7,58.9,1.9,57.0,,
14,addPhotos_cpu,7,mean,xl,32.6,228.2,2.6,2.8,NA,NA,0.2,0.2,0.3,122.8,24.6,98.2,122.8,2.3,120.5,,
15,addPhotos_gpu,7,max,xl,56.0,392.0,3.0,3.0,NA,NA,0.4,0.4,0.5,122.8,31.4,109.4,122.8,2.5,120.6,,
16,addPhotos_gpu,7,mean,xl,32.4,226.8,2.4,2.8,NA,NA,0.3,0.3,0.3,122.8,24.6,98.2,122.8,2.4,120.4,,
17,alignCameras_1x1g,1,max,mig,2731.0,2731.0,64.0,98.0,NA,NA,20.3,31.1,4.5,122.8,5.6,117.8,122.8,6.5,116.9,,
18,alignCameras_1x1g,1,mean,mig,1736.0,1736.0,63.0,97.0,NA,NA,20.0,30.9,4.2,122.8,5.3,117.6,122.8,6.3,116.6,,2.985463029
19,alignCameras_1x2g,2,max,mig,2763.0,5526.0,64.0,99.0,NA,NA,20.4,31.4,4.7,122.8,5.7,117.8,122.8,6.6,116.9,,
20,alignCameras_1x2g,2,mean,mig,1752.0,3504.0,63.3,97.7,NA,NA,20.1,31.0,4.4,122.8,5.3,117.5,122.8,6.4,116.4,,
21,alignCameras_1x3g,3,max,mig,2791.0,8373.0,64.0,100.0,NA,NA,20.4,31.9,4.7,122.8,5.7,117.7,122.8,6.7,116.7,,
22,alignCameras_1x3g,3,mean,mig,1787.3,5362.0,62.7,98.3,NA,NA,19.9,31.3,4.4,122.8,5.3,117.5,122.8,6.3,116.5,,
23,alignCameras_2x1g,2,max,mig,2787.0,5574.0,65.0,100.0,NA,NA,20.7,31.9,4.7,122.8,5.7,117.7,122.8,6.7,116.7,,3.128025169
24,alignCameras_2x1g,2,mean,mig,1772.3,3544.7,63.3,98.0,NA,NA,20.2,31.2,4.4,122.8,5.3,117.5,122.8,6.3,116.5,,1.73689878
25,alignCameras_3x1g,3,max,mig,2758.0,8274.0,65.0,99.0,NA,NA,20.6,31.6,4.6,122.8,5.5,117.7,122.8,6.6,116.5,,1.747579864
26,alignCameras_3x1g,3,mean,mig,1752.0,5256.0,63.7,97.7,NA,NA,20.2,31.2,4.4,122.8,5.4,117.5,122.8,6.4,116.4,,
27,alignCameras_cpu,7,max,large,4167.0,595.3,75.0,100.0,NA,NA,11.9,15.9,4.1,58.9,5.2,55.1,58.9,5.4,54.0,,
28,alignCameras_cpu,7,max,xl,2726.0,19082.0,64.0,100.0,NA,NA,20.5,31.8,4.6,122.8,5.7,117.8,122.8,6.6,116.8,,
29,alignCameras_cpu,3.5,mean,large,2557.3,8950.7,74.0,100.0,NA,NA,11.8,15.9,3.9,58.9,4.4,54.5,58.9,5.2,53.6,,
30,alignCameras_cpu,7,mean,xl,1720.7,12044.7,62.7,98.0,NA,NA,20.0,31.3,4.4,122.8,5.4,117.4,122.8,6.4,116.4,,
31,alignCameras_gpu,7,max,xl,2864.0,20048.0,64.0,100.0,NA,NA,20.5,31.8,4.5,122.8,5.6,117.6,122.8,6.5,116.7,,
32,alignCameras_gpu,7,mean,xl,1717.3,12021.3,63.3,98.3,NA,NA,20.2,31.4,4.3,122.8,5.4,117.5,122.8,6.3,116.5,,2.34469492
33,buildDem (DSM-mesh)_cpu,7,max,large,98.0,14.0,27.0,88.0,NA,NA,4.3,14.1,1.0,58.9,3.1,56.6,58.9,2.4,56.7,,
34,buildDem (DSM-mesh)_cpu,7,max,xl,90.0,630.0,16.0,47.0,NA,NA,5.1,14.9,0.9,122.8,3.2,120.8,122.8,2.9,120.0,,
